Name	Set	Imagefile	Affiliation	Type	Cost	ConvertedCost	Offense	Defense	Mind	Body	Skills	Text
I'm Okay	Resurrection	avp.image.rez.event.i'm.okay		Event								
Into The Tunnels	Resurrection	avp.image.rez.event.into.the.tunnels		Event								
Invasive Surgery	Resurrection	avp.image.rez.event.invasive.surgery		Event								
It's Too Late	Resurrection	avp.image.rez.event.it's.too.late		Event								
Keep 'em Down	Resurrection	avp.image.rez.event.keep.em.down		Event								
Last Stand	Resurrection	avp.image.rez.event.last.stand		Event								
Learn By Doing	Resurrection	avp.image.rez.event.learn.by.doing		Event								
Let The Army Guys Deal	Resurrection	avp.image.rez.event.let.the.army.guys.deal		Event								
Lock The Door	Resurrection	avp.image.rez.event.lock.the.door		Event								
Mirror Image	Resurrection	avp.image.rez.event.mirror.image		Event								
Non-Human Presence Detected	Resurrection	avp.image.rez.event.non-human.presence.detected		Event								
Not That Way	Resurrection	avp.image.rez.event.not.that.way		Event								
Out Of Breath	Resurrection	avp.image.rez.event.out.of.breath		Event								
Pack Tactics	Resurrection	avp.image.rez.event.pack.tactics		Event								
Plasma Overcharge	Resurrection	avp.image.rez.event.plasma.overcharge		Event								
Pointman Is Hit	Resurrection	avp.image.rez.event.pointman.is.hit		Event								
Quick Escape	Resurrection	avp.image.rez.event.quick.escape		Event								
Recalibrate Ground Level	Resurrection	avp.image.rez.event.recalibrate.ground.level		Event								
Rig It Up	Resurrection	avp.image.rez.event.rig.it.up		Event								
Share The Pain	Resurrection	avp.image.rez.event.share.the.pain		Event								
Shortcut	Resurrection	avp.image.rez.event.shortcut		Event								
Sporting Chance	Resurrection	avp.image.rez.event.sporting.chance		Event								
Strong Arm Tactic	Resurrection	avp.image.rez.event.strong.arm.tactic		Event								
Terrorized	Resurrection	avp.image.rez.event.terrorized		Event								
The Queen Is Dead	Resurrection	avp.image.rez.event.the.queen.is.dead		Event								
The Waters Fine	Resurrection	avp.image.rez.event.the.waters.fine		Event								
Trick Shot	Resurrection	avp.image.rez.event.trick.shot		Event								
Underwater Debris	Resurrection	avp.image.rez.event.underwater.debris		Event								
Unexpected Benefits	Resurrection	avp.image.rez.event.unexpected.benefits		Event								
Collapsible Shotgun	Resurrection	avp.image.rez.item.human.collapsible.shotgun	Human	Item								
Draco Double Burner	Resurrection	avp.image.rez.item.human.draco.double.burner	Human	Item								
Flechette Rounds	Resurrection	avp.image.rez.item.human.flechette.rounds	Human	Item								
Halogen Attachment	Resurrection	avp.image.rez.item.human.halogen.attachment	Human	Item								
Lacrima 99	Resurrection	avp.image.rez.item.human.lacrima.99	Human	Item								
M91 Flamer Unit	Resurrection	avp.image.rez.item.human.m91.flamer.unit	Human	Item								
M220 Uranium Grenade	Resurrection	avp.image.rez.item.human.m220.uranium.grenade	Human	Item								
M237 Enhanced Silencer	Resurrection	avp.image.rez.item.human.m237.enhanced.silencer	Human	Item								
Portable Data Drive	Resurrection	avp.image.rez.item.human.portable.data.drive	Human	Item								
Prohibited Imports Scanner	Resurrection	avp.image.rez.item.human.prohibited.imports.scanner	Human	Item								
Thermos Gun	Resurrection	avp.image.rez.item.human.thermos.gun	Human	Item								
Wrist Guns	Resurrection	avp.image.rez.item.human.wrist.guns	Human	Item								
Zip Gun	Resurrection	avp.image.rez.item.human.zip.gun	Human	Item								
Acid Rounds	Resurrection	avp.image.rez.item.predator.acid.rounds	Predator	Item								
Decompression Valves	Resurrection	avp.image.rez.item.predator.decompression.valves	Predator	Item								
Force Net	Resurrection	avp.image.rez.item.predator.force.net	Predator	Item								
Hunter's Caster	Resurrection	avp.image.rez.item.predator.hunters.caster	Predator	Item								
Hunter's Cloak	Resurrection	avp.image.rez.item.predator.hunters.cloak	Predator	Item								
Neuro Toxin	Resurrection	avp.image.rez.item.predator.neuro.toxin	Predator	Item								
Venom Cloud Module	Resurrection	avp.image.rez.item.predator.venom.cloud.module	Predator	Item								
Alien Lab	Resurrection	avp.image.rez.location.cross.alien.lab	Indoor	Location: Cross								
Flooded Corridor	Resurrection	avp.image.rez.location.cross.flooded.corridor	Indoor	Location: Cross								
Galley	Resurrection	avp.image.rez.location.cross.galley	Indoor	Location: Cross								
Lower Level Living Quarters	Resurrection	avp.image.rez.location.cross.lower.level.living.quarters	Indoor	Location: Cross								
Chapel	Resurrection	avp.image.rez.location.ground.chapel	Indoor	Location								
Genetics Lab	Resurrection	avp.image.rez.location.ground.genetics.lab	Indoor	Location								
Hatchery	Resurrection	avp.image.rez.location.ground.hatchery	Indoor	Location								
Medical Lab	Resurrection	avp.image.rez.location.ground.medical.lab	Indoor	Location								
Storage Facility	Resurrection	avp.image.rez.location.ground.storage.facility	Indoor	Location								
Waste Tank 5	Resurrection	avp.image.rez.location.ground.waste.tank.5	Indoor	Location								
Face Hugger	Resurrection	avp.image.rez.main.alien.face.hugger	Alien	Main Character								
Newborn	Resurrection	avp.image.rez.main.alien.newborn	Alien	Main Character								
Call	Resurrection	avp.image.rez.main.human.call	Rogue	Main Character								
Creepy	Resurrection	avp.image.rez.main.human.creepy	Rogue	Main Character								
Christie	Resurrection	avp.image.rez.main.human.christie	Rogue	Main Character								
Elgyn	Resurrection	avp.image.rez.main.human.elgyn	Rogue	Main Character								
Hillard	Resurrection	avp.image.rez.main.human.hillard	Rogue	Main Character								
Johner	Resurrection	avp.image.rez.main.human.johner	Rogue	Main Character								
Ripley 8	Resurrection	avp.image.rez.main.human.ripley.8	Rogue	Main Character								
Rogue Assassin	Resurrection	avp.image.rez.main.human.rogue.assassin	Rogue	Main Character								
Rogue Mercenary	Resurrection	avp.image.rez.main.human.rogue.mercenary	Rogue	Main Character								
Vriess	Resurrection	avp.image.rez.main.human.vriess	Rogue	Main Character								
Doctor Wren	Resurrection	avp.image.rez.main.human.doctor.wren	Marine	Main Character								
General Perez	Resurrection	avp.image.rez.main.human.general.perez	Marine	Main Character								
Pvt Distephano	Resurrection	avp.image.rez.main.human.pvt.distephano	Marine	Main Character								
Bounty Hunter	Resurrection	avp.image.rez.main.predator.bounty.hunter	Predator	Main Character								
Dark Shaman	Resurrection	avp.image.rez.main.predator.dark.shaman	Predator	Main Character								
High Adjudicator	Resurrection	avp.image.rez.main.predator.high.adjudicator	Predator	Main Character								
Loose Tusk	Resurrection	avp.image.rez.main.predator.loose.tusk	Predator	Main Character								
Night Shade	Resurrection	avp.image.rez.main.predator.night.shade	Predator	Main Character								
Shadow Blade	Resurrection	avp.image.rez.main.predator.shadow.blade	Predator	Main Character								
Silent Wraith	Resurrection	avp.image.rez.main.predator.silent.wraith	Predator	Main Character								
Ambushed Predator	Resurrection	avp.image.rez.supporting.ambushed.predator	Predator	Supporting Character								
Avery G.	Resurrection	avp.image.rez.supporting.avery.g.	Human	Supporting Character								
Doctor Gediman	Resurrection	avp.image.rez.supporting.doctor.gediman	Human	Supporting Character								
Purvis	Resurrection	avp.image.rez.supporting.purvis	Human	Supporting Character								
P.T.V. (Personal Transport Vehicle)	Resurrection	avp.image.rez.vehicle.p.t.v	Human	Vehicle								
2 by 2 Formation	Premiere	avp.image.premiere.event.2.by.2.formation		Event								
A Bad Feeling	Premiere	avp.image.premiere.event.a.bad.feeling		Event								
Advantageous Terrain	Premiere	avp.image.premiere.event.advantageous.terrain		Event								
Adrenaline Rush	Premiere	avp.image.premiere.event.adrenaline.rush		Event								
A Kill With No Honor	Premiere	avp.image.premiere.event.a.kill.with.no.honor		Event								
Access Tunnel	Premiere	avp.image.premiere.event.access.tunnel		Event								
Acid Splash	Premiere	avp.image.premiere.event.acid.splash		Event								
Acid Spray	Premiere	avp.image.premiere.event.acid.spray		Event								
Activate Self Destruct	Premiere	avp.image.premiere.event.activate.self.destruct		Event								
Adapt and Overcome	Premiere	avp.image.premiere.event.adapt.and.overcome		Event								
Aggravated Wound	Premiere	avp.image.premiere.event.aggravated.wound		Event								
Air Control Fans	Premiere	avp.image.premiere.event.air.control.fans		Event								
Alien Birth	Premiere	avp.image.premiere.event.alien.birth		Event								
Alien Hunter	Premiere	avp.image.premiere.event.alien.hunter		Event								
Alien Pursuit	Premiere	avp.image.premiere.event.alien.pursuit		Event								
Alien Stealth	Premiere	avp.image.premiere.event.alien.stealth		Event								
Alien Wave	Premiere	avp.image.premiere.event.alien.wave		Event								
Ambush	Premiere	avp.image.premiere.event.ambush		Event								
At Any Price	Premiere	avp.image.premiere.event.at.any.price		Event								
At The Limit	Premiere	avp.image.premiere.event.at.the.limit		Event								
Baptism Of Fire	Premiere	avp.image.premiere.event.baptism.of.fire		Event								
Battlefield Chaos	Premiere	avp.image.premiere.event.battlefield.chaos		Event								
Berserk	Premiere	avp.image.premiere.event.berserk		Event								
Blaze The Path	Premiere	avp.image.premiere.event.blaze.the.path		Event								
Block	Premiere	avp.image.premiere.event.block		Event								
Body Slam	Premiere	avp.image.premiere.event.body.slam		Event								
Booby Trap	Premiere	avp.image.premiere.event.booby.trap		Event								
Breakthrough	Premiere	avp.image.premiere.event.breakthrough		Event								
Bug Hunt	Premiere	avp.image.premiere.event.bug.hunt		Event								
Burst Pipe	Premiere	avp.image.premiere.event.burst.pipe		Event								
Calculated Risk	Premiere	avp.image.premiere.event.calculated.risk		Event								
Captured	Premiere	avp.image.premiere.event.captured		Event								
Carpe Corpus	Premiere	avp.image.premiere.event.carpe.corpus		Event								
Ceiling Highway	Premiere	avp.image.premiere.event.ceiling.highway		Event								
Close Quarters	Premiere	avp.image.premiere.event.close.quarters		Event								
Combat Mastery	Premiere	avp.image.premiere.event.combat.mastery		Event								
Committed Posture	Premiere	avp.image.premiere.event.committed.posture		Event								
Concentrated Fire	Premiere	avp.image.premiere.event.concentrated.fire		Event								
Counter	Premiere	avp.image.premiere.event.counter		Event								
Cover Formation	Premiere	avp.image.premiere.event.cover.formation		Event								
Covering Fire	Premiere	avp.image.premiere.event.covering.fire		Event								
Cower	Premiere	avp.image.premiere.event.cower		Event								
Crazed Civilian	Premiere	avp.image.premiere.event.crazed.civilian		Event								
Critical Hit	Premiere	avp.image.premiere.event.critical.hit		Event								
Crossfire	Premiere	avp.image.premiere.event.crossfire		Event								
Dead End	Premiere	avp.image.premiere.event.dead.end		Event								
Death From Above	Premiere	avp.image.premiere.event.death.from.above		Event								
Defend The Hive	Premiere	avp.image.premiere.event.defend.the.hive		Event								
Desperate Shot	Premiere	avp.image.premiere.event.desperate.shot		Event								
Deteriorating Situation	Premiere	avp.image.premiere.event.deteriorating.situation		Event								
Dire Straits	Premiere	avp.image.premiere.event.dire.straits		Event								
Disarmament	Premiere	avp.image.premiere.event.disarmament		Event								
Disengaging Attack	Premiere	avp.image.premiere.event.disengaging.attack		Event								
Dishonor	Premiere	avp.image.premiere.event.dishonor		Event								
Display Of Skill	Premiere	avp.image.premiere.event.display.of.skill		Event								
Dissection	Premiere	avp.image.premiere.event.dissection		Event								
Dodge	Premiere	avp.image.premiere.event.dodge		Event								
Dodge And Roll	Premiere	avp.image.premiere.event.dodge.and.roll		Event								
Dwindling Options	Premiere	avp.image.premiere.event.dwindling.options		Event								
Eat This	Premiere	avp.image.premiere.event.eat.this		Event								
Eat Vacuum	Premiere	avp.image.premiere.event.eat.vacuum		Event								
Egg Sack Detachment	Premiere	avp.image.premiere.event.egg.sack.detachment		Event								
Emergency Escape Vessel	Premiere	avp.image.premiere.event.emergency.escape.vessel		Event								
Empty	Premiere	avp.image.premiere.event.empty		Event								
End Of The Line	Premiere	avp.image.premiere.event.end.of.the.line		Event								
Evacuation	Premiere	avp.image.premiere.event.evacuation		Event								
Extremely Agitated	Premiere	avp.image.premiere.event.extremely.agitated		Event								
Face Hugger Attack	Premiere	avp.image.premiere.event.face.hugger.attack		Event								
Facing Bad Luck	Premiere	avp.image.premiere.event.facing.bad.luck		Event								
Field Promotion	Premiere	avp.image.premiere.event.field.promotion		Event								
Fiery Defense	Premiere	avp.image.premiere.event.fiery.defense		Event								
Fire Alarm	Premiere	avp.image.premiere.event.fire.alarm		Event								
Flanking	Premiere	avp.image.premiere.event.flanking		Event								
Flesh Wound	Premiere	avp.image.premiere.event.flesh.wound		Event								
Fog Of War	Premiere	avp.image.premiere.event.fog.of.war		Event								
Fortify	Premiere	avp.image.premiere.event.fortify		Event								
Found 'em	Premiere	avp.image.premiere.event.found.'em		Event								
Frenzy	Premiere	avp.image.premiere.event.frenzy		Event								
Friendly Fire	Premiere	avp.image.premiere.event.friendly.fire		Event								
From Behind	Premiere	avp.image.premiere.event.from.behind		Event								
Get Away From Her	Premiere	avp.image.premiere.event.get.away.from.her		Event								
Ghost Image	Premiere	avp.image.premiere.event.ghost.image		Event								
Good Shot	Premiere	avp.image.premiere.event.good.shot		Event								
Got It	Premiere	avp.image.premiere.event.got.it		Event								
Grapple	Premiere	avp.image.premiere.event.grapple		Event								
Have Me Some Fun	Premiere	avp.image.premiere.event.have.me.some.fun		Event								
Head Shot	Premiere	avp.image.premiere.event.head.shot		Event								
Heat Of Battle	Premiere	avp.image.premiere.event.heat.of.battle		Event								
Heroic Stand	Premiere	avp.image.premiere.event.heroic.stand		Event								
Hidden	Premiere	avp.image.premiere.event.hidden		Event								
Hidey hole	Premiere	avp.image.premiere.event.hidey.hole		Event								
Hive Construction	Premiere	avp.image.premiere.event.hive.construction		Event								
Hull Breach	Premiere	avp.image.premiere.event.hull.breach		Event								
I Can Take It	Premiere	avp.image.premiere.event.i.can.take.it		Event								
I Can't Lock In	Premiere	avp.image.premiere.event.i.can't.lock.in		Event								
I Work Best Alone	Premiere	avp.image.premiere.event.i.work.best.alone		Event								
If It Bleeds	Premiere	avp.image.premiere.event.if.it.bleeds		Event								
Instinctive Escape	Premiere	avp.image.premiere.event.instinctive.escape		Event								
It Was A Bad Call	Premiere	avp.image.premiere.event.it.was.a.bad.call		Event								
Its Just The Cat	Premiere	avp.image.premiere.event.its.just.the.cat		Event								
Juggernaut	Premiere	avp.image.premiere.event.juggernaut		Event								
Kill And Kill Again	Premiere	avp.image.premiere.event.kill.and.kill.again		Event								
Know Your Enemy	Premiere	avp.image.premiere.event.know.your.enemy		Event								
Lay Of The Land	Premiere	avp.image.premiere.event.lay.of.the.land		Event								
Learning Experience	Premiere	avp.image.premiere.event.learning.experience		Event								
Lets Rock	Premiere	avp.image.premiere.event.lets.rock		Event								
Like A Ghost	Premiere	avp.image.premiere.event.like.a.ghost		Event								
Limb From Limb	Premiere	avp.image.premiere.event.limb.from.limb		Event								
Long Range Shot	Premiere	avp.image.premiere.event.long.range.shot		Event								
Look Sharp	Premiere	avp.image.premiere.event.look.sharp		Event								
Loose Formation	Premiere	avp.image.premiere.event.loose.formation		Event								
Loss Of Command	Premiere	avp.image.premiere.event.loss.of.command		Event								
Lucky Break	Premiere	avp.image.premiere.event.lucky.break		Event								
Malfunction	Premiere	avp.image.premiere.event.malfunction		Event								
March Of Time	Premiere	avp.image.premiere.event.march.of.time		Event								
Marine Short Course	Premiere	avp.image.premiere.event.marine.short.course		Event								
Marines, We Are Leaving	Premiere	avp.image.premiere.event.marines.we.are.leaving		Event								
Masterful Shot	Premiere	avp.image.premiere.event.masterful.shot		Event								
Medical Assistance	Premiere	avp.image.premiere.event.medical.assistance		Event								
Meditation	Premiere	avp.image.premiere.event.meditation		Event								
Natural Selection	Premiere	avp.image.premiere.event.natural.selection		Event								
New Era In Science	Premiere	avp.image.premiere.event.new.era.in.science		Event								
Nobodys Home	Premiere	avp.image.premiere.event.nobodys.home		Event								
Not So Fast	Premiere	avp.image.premiere.event.not.so.fast		Event								
Nowhere To Hide	Premiere	avp.image.premiere.event.nowhere.to.hide		Event								
Observe The Prey	Premiere	avp.image.premiere.event.observe.the.prey		Event								
On A Roll	Premiere	avp.image.premiere.event.on.a.roll		Event								
On The Move	Premiere	avp.image.premiere.event.on.the.move		Event								
Oops	Premiere	avp.image.premiere.event.oops		Event								
Overconfidence	Premiere	avp.image.premiere.event.overconfidence		Event								
Overkill	Premiere	avp.image.premiere.event.overkill		Event								
Overwatch	Premiere	avp.image.premiere.event.overwatch		Event								
Panic	Premiere	avp.image.premiere.event.panic		Event								
passed By	Premiere	avp.image.premiere.event.passed.by		Event								
Perfect Organism	Premiere	avp.image.premiere.event.perfect.organism		Event								
Pincer grab	Premiere	avp.image.premiere.event.pincer.grab		Event								
Pour It On	Premiere	avp.image.premiere.event.pour.it.on		Event								
Power Outage	Premiere	avp.image.premiere.event.power.outage		Event								
Prepare Yourself	Premiere	avp.image.premiere.event.prepare.yourself		Event								
Primal Force	Premiere	avp.image.premiere.event.primal.force		Event								
Protect The Queen	Premiere	avp.image.premiere.event.protect.the.queen		Event								
Ransack	Premiere	avp.image.premiere.event.ransack		Event								
Rapid Fire	Premiere	avp.image.premiere.event.rapid.fire		Event								
Ravaged Chamber	Premiere	avp.image.premiere.event.ravaged.chamber		Event								
Ready For Trouble	Premiere	avp.image.premiere.event.ready.for.trouble		Event								
Recon	Premiere	avp.image.premiere.event.recon		Event								
Reflexive Action	Premiere	avp.image.premiere.event.reflexive.action		Event								
Regroup	Premiere	avp.image.premiere.event.regroup		Event								
Remote Sensors	Premiere	avp.image.premiere.event.remote.sensors		Event								
Rend	Premiere	avp.image.premiere.event.rend		Event								
Right to the Wall	Premiere	avp.image.premiere.event.right.to.the.wall		Event								
Repair	Premiere	avp.image.premiere.event.repair		Event								
Rescue	Premiere	avp.image.premiere.event.rescue		Event								
Retreat	Premiere	avp.image.premiere.event.retreat		Event								
Rip Asunder	Premiere	avp.image.premiere.event.rip.asunder		Event								
Rivalry	Premiere	avp.image.premiere.event.rivalry		Event								
Roll With It	Premiere	avp.image.premiere.event.roll.with.it		Event								
Royal Jelly	Premiere	avp.image.premiere.event.royal.jelly		Event								
Sacrifice	Premiere	avp.image.premiere.event.sacrifice		Event								
Saturation Fire	Premiere	avp.image.premiere.event.saturation.fire		Event								
Second Chance	Premiere	avp.image.premiere.event.second.chance		Event								
Secure Position	Premiere	avp.image.premiere.event.secure.position		Event								
Security Doors	Premiere	avp.image.premiere.event.security.doors		Event								
Self Destruct Sequence	Premiere	avp.image.premiere.event.self.destruct.sequence		Event								
Sensing Weakness	Premiere	avp.image.premiere.event.sensing.weakness		Event								
Settle the Score	Premiere	avp.image.premiere.event.settle.the.score		Event								
Short, Controlled Bursts	Premiere	avp.image.premiere.event.short,.controlled.bursts		Event								
Situational Awareness	Premiere	avp.image.premiere.event.situational.awareness		Event								
Slow Motion	Premiere	avp.image.premiere.event.slow.motion		Event								
Snapshot	Premiere	avp.image.premiere.event.snapshot		Event								
Somebody Wake Up Hicks	Premiere	avp.image.premiere.event.somebody.wake.up.hicks		Event								
Sprint	Premiere	avp.image.premiere.event.sprint		Event								
Stalking The Queen	Premiere	avp.image.premiere.event.stalking.the.queen		Event								
Standoff	Premiere	avp.image.premiere.event.standoff		Event								
Structural Damage	Premiere	avp.image.premiere.event.structural.damage		Event								
Structural Repairs	Premiere	avp.image.premiere.event.structural.repairs		Event								
Study The Enemy	Premiere	avp.image.premiere.event.study.the.enemy		Event								
Success Breeds Success	Premiere	avp.image.premiere.event.success.breeds.success		Event								
Superior Analysis	Premiere	avp.image.premiere.event.superior.analysis		Event								
Superior Species	Premiere	avp.image.premiere.event.superior.species		Event								
Sweep The Area	Premiere	avp.image.premiere.event.sweep.the.area		Event								
Tail Lash	Premiere	avp.image.premiere.event.tail.lash		Event								
Tail Spear	Premiere	avp.image.premiere.event.tail.spear		Event								
Take Aim	Premiere	avp.image.premiere.event.take.aim		Event								
Take Cover	Premiere	avp.image.premiere.event.take.cover		Event								
Take Him With You	Premiere	avp.image.premiere.event.take.him.with.you		Event								
Take Names	Premiere	avp.image.premiere.event.take.names		Event								
take The Initiative	Premiere	avp.image.premiere.event.take.the.initiative		Event								
Takedown Strike	Premiere	avp.image.premiere.event.takedown.strike		Event								
The Area Is Secure	Premiere	avp.image.premiere.event.the.area.is.secure		Event								
The Hunt	Premiere	avp.image.premiere.event.the.hunt		Event								
The Strong Survive	Premiere	avp.image.premiere.event.the.strong.survive		Event								
The Will To Live	Premiere	avp.image.premiere.event.the.will.to.live		Event								
Theres Something In Here	Premiere	avp.image.premiere.event.theres.something.in.here		Event								
This Changes Everything	Premiere	avp.image.premiere.event.this.changes.everything		Event								
Tight Formation	Premiere	avp.image.premiere.event.tight.formation		Event								
Tighten The Perimeter	Premiere	avp.image.premiere.event.tighten.the.perimeter		Event								
Trick Of The Light	Premiere	avp.image.premiere.event.trick.of.the.light		Event								
Trip	Premiere	avp.image.premiere.event.trip		Event								
Twice As Deadly	Premiere	avp.image.premiere.event.twice.as.deadly		Event								
Twitchy Artificial Person	Premiere	avp.image.premiere.event.Twitchy.Artificial.Person		Event								
Under Its Gaze	Premiere	avp.image.premiere.event.under.its.gaze		Event								
Weapon Cache	Premiere	avp.image.premiere.event.weapon.cache		Event								
Welcome To The War	Premiere	avp.image.premiere.event.welcome.to.the.war		Event								
Where Theres One	Premiere	avp.image.premiere.event.where.theres.one		Event								
You Want Some Of This?	Premiere	avp.image.premiere.event.you.want.some.of.this		Event								
Battle Standard	Premiere	avp.image.premiere.item.human.battle.standard	Human	Item								
Bottled Courage	Premiere	avp.image.premiere.item.human.bottled.courage	Human	Item								
Camouflage	Premiere	avp.image.premiere.item.human.camouflage	Human	Item								
Chemical Base	Premiere	avp.image.premiere.item.human.chemical.base	Human	Item								
CN-20 Nerve Gas	Premiere	avp.image.premiere.item.human.cn-20.nerve.gas	Human	Item								
Combat Knife	Premiere	avp.image.premiere.item.human.combat.knife	Human	Item								
Communications Array	Premiere	avp.image.premiere.item.human.communications.array	Human	Item								
Crude Explosives	Premiere	avp.image.premiere.item.human.crude.explosives	Human	Item								
Demolition Charge	Premiere	avp.image.premiere.item.human.demolition.charge	Human	Item								
Double-Packed Ammo	Premiere	avp.image.premiere.item.human.double-packed.ammo	Human	Item								
Experimental Rifle	Premiere	avp.image.premiere.item.human.experimental.rifle	Human	Item								
Extra Ammo	Premiere	avp.image.premiere.item.human.extra.ammo	Human	Item								
Field Pack	Premiere	avp.image.premiere.item.human.field.pack	Human	Item								
Garrison Pack	Premiere	avp.image.premiere.item.human.garrison.pack	Human	Item								
Hand Welder	Premiere	avp.image.premiere.item.human.hand.welder	Human	Item								
Infrared Binoculars	Premiere	avp.image.premiere.item.human.infrared.binoculars	Human	Item								
M3 Body Armor	Premiere	avp.image.premiere.item.human.m3.body.armor	Human	Item								
M41A Pulse Rifle	Premiere	avp.image.premiere.item.human.m41a.pulse.rifle	Human	Item								
M42A Scope Rifle	Premiere	avp.image.premiere.item.human.m42a.scope.rifle	Human	Item								
M56 Smart Gun	Premiere	avp.image.premiere.item.human.m56.smart.gun	Human	Item								
M240 Flame Thrower	Premiere	avp.image.premiere.item.human.m240.flame.thrower	Human	Item								
Makeshift Weapon	Premiere	avp.image.premiere.item.human.makeshift.weapon	Human	Item								
Medikit	Premiere	avp.image.premiere.item.human.medikit	Human	Item								
MK 35 Pressure Suit	Premiere	avp.image.premiere.item.human.mk.35.pressure.suit	Human	Item								
MK 50 Compression Suit	Premiere	avp.image.premiere.item.human.mk.50.compression.suit	Human	Item								
Motion Scanner	Premiere	avp.image.premiere.item.human.motion.scanner	Human	Item								
P-5000 Powerloader	Premiere	avp.image.premiere.item.human.p-5000.powerloader	Human	Vehicle								
Personal Data Locator	Premiere	avp.image.premiere.item.human.personal.data.locator	Human	Item								
Sentry Gun Control	Premiere	avp.image.premiere.item.human.sentry.gun.control	Human	Item								
Shotgun	Premiere	avp.image.premiere.item.human.shotgun	Human	Item								
Small Arms	Premiere	avp.image.premiere.item.human.small.arms	Human	Item								
UA 571C Sentry Gun	Premiere	avp.image.premiere.item.human.ua.571c.sentry.gun	Human	Item								
Acid Resistant Claws	Premiere	avp.image.premiere.item.predator.acid.resistant.claws	Predator	Item								
Camouflage Suit	Premiere	avp.image.premiere.item.predator.camouflage.suit	Predator	Item								
Ceremonial Armor	Premiere	avp.image.premiere.item.predator.ceremonial.armor	Predator	Item								
Collapsible Spear	Premiere	avp.image.premiere.item.predator.collapsible.spear	Predator	Item								
Darts	Premiere	avp.image.premiere.item.predator.darts	Predator	Item								
Hunter's Mask	Premiere	avp.image.premiere.item.predator.hunters.mask	Predator	Item								
Hunting Kit	Premiere	avp.image.premiere.item.predator.hunting.kit	Predator	Item								
Laser Sight	Premiere	avp.image.premiere.item.predator.laser.sight	Predator	Item								
Mask	Premiere	avp.image.premiere.item.predator.mask	Predator	Item								
Melee Claws	Premiere	avp.image.premiere.item.predator.melee.claws	Predator	Item								
Naginata	Premiere	avp.image.premiere.item.predator.naginata	Predator	Item								
Plasma Caster	Premiere	avp.image.premiere.item.predator.plasma.caster	Predator	Item								
Predator Medikit	Premiere	avp.image.premiere.item.predator.predator.medikit	Predator	Item								
Scattergun	Premiere	avp.image.premiere.item.predator.scattergun	Predator	Item								
